ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
202,13175.40378,86.64853384,1,3.121492267,63.46349433,9,0.052342867,8.63051535,0.081321681,85.04237928,0,2419.616785,0.468946624,5.55163899,236.439301,1
535,19770.04609,86.31066361,4,0.819530511,83.69781763,20,4.90832825,9.296598088,0.03848647,99.65744298,7,3915.566713,0.119484558,9.080753557,353.9576312,1
960,19060.821,82.13247238,0,4.514504071,90.35055003,1,2.464922789,5.097485701,0.002887365,92.81926429,2,3392.385362,0.496391526,6.562827271,396.1894021,1
370,5647.606037,87.33596641,5,0.63852396,67.62869012,8,4.692475792,3.577615991,0.055330971,96.88701346,8,4652.400275,0.183125088,8.09749565,164.1358699,1
206,7472.222236,81.98989338,3,3.867783603,82.72833363,9,2.746726169,6.851709481,0.068047139,88.31555364,7,1581.630332,0.263506944,6.406154013,365.7089636,1
171,6975.931602,95.33191889,1,3.914573642,92.56843594,19,3.027324301,7.930009366,0.074069495,87.07911774,7,1238.994421,0.118020523,7.279442019,171.7118039,1
800,15889.69865,99.32548595,3,4.788999884,90.72991111,10,3.55956128,3.046888531,0.040192495,91.0631579,8,3138.43115,0.333912881,4.891668839,188.7277374,1
120,17266.77995,99.40148913,4,0.743604838,92.11968071,13,1.604878668,8.380972117,0.009701963,88.70556885,3,1004.108554,0.293422106,9.333834717,312.5268961,1
714,8202.670495,97.30142199,5,3.185855874,95.17293699,2,3.494919803,3.66874656,0.058432643,94.2989611,4,4150.875773,0.366682814,5.517451184,215.6809208,1
221,12587.79039,92.01584299,2,2.425282568,97.50728409,0,2.633959549,5.933418343,0.032954789,85.3163618,6,3023.891555,0.317071251,5.965972023,364.6381765,0
566,17610.54542,94.01731394,3,1.987848297,76.22084621,6,3.362399748,8.851859599,0.094688748,88.99182062,1,2952.262304,0.259271114,5.724689529,482.3106497,0
314,15992.02317,85.70411605,0,0.906433521,82.7507641,3,4.179166305,3.547396088,0.050271211,97.90265495,6,2449.983915,0.395102679,3.845701181,159.5568805,0
430,13133.55808,92.6154084,1,3.031943539,91.62638104,6,0.921145651,3.935077184,0.047226605,95.12215801,2,2499.895345,0.110008451,3.08114592,328.2043329,1
558,13855.21536,89.11299099,0,2.655683266,87.88559256,15,3.067754552,2.502169252,0.030920953,83.3614033,5,2724.534713,0.316411608,1.664514677,469.3196731,1
187,12625.4082,89.6403468,3,0.970495062,99.82080913,9,0.260556643,3.172912894,0.033878651,97.73729659,5,1064.129378,0.145550482,7.463574838,170.6115907,0
472,9463.22677,95.15553121,5,3.256202782,60.54710604,14,0.510575445,3.172206558,0.051275478,91.78033181,5,1334.183149,0.274403333,3.603477369,246.7403614,1
199,13475.32989,85.63836711,2,3.820789041,74.20532861,15,3.372971179,3.627420017,0.03066648,93.58574367,9,3020.19208,0.416450127,4.502781669,149.446734,1
971,15333.27953,86.36079223,2,3.952752355,71.24111705,5,0.354688259,4.289603177,0.089230488,85.88513132,1,1600.489061,0.156984299,9.279353465,356.8150873,1
763,18099.84374,98.49283582,0,4.574179347,70.49263401,3,2.976788899,8.519866916,0.043901793,88.83088527,8,4115.050433,0.47432414,6.098026145,367.6571711,1
230,14544.37031,81.1244859,4,2.342618338,68.9011913,3,1.100062993,9.326110913,0.029202208,96.13624958,7,2097.940696,0.455401877,1.873702575,365.6729278,1
761,16416.82306,89.71268597,4,4.788827459,88.36495363,23,1.520424143,5.250244874,0.015539483,86.61352438,6,1391.598549,0.265962028,8.196507215,316.8508193,1
408,7401.074524,98.25601601,5,4.394432323,63.39037893,22,0.648182511,3.025671616,0.067235073,83.30123231,8,1940.839704,0.102389936,3.305175392,398.5043471,1
869,11923.36212,92.20726016,2,1.83425707,89.66435336,3,1.243337431,3.790479401,0.002578694,87.56609826,3,2428.392921,0.415897931,5.974352584,114.3509186,1
443,5139.974297,90.92814148,0,1.216773668,87.73703368,21,4.106458924,7.889647815,0.044999579,81.38437335,1,1141.266434,0.452358321,5.589833274,483.005395,1
591,8700.182968,84.99488358,0,2.459252283,70.0321653,21,3.194392028,7.419404154,0.055012182,94.35712917,3,1566.702098,0.169895237,3.142709581,188.8384832,1
513,15896.92573,86.86550978,0,2.308544186,70.11335133,16,4.748798974,9.737658413,0.033978461,82.95491818,9,2295.387018,0.466476884,2.041939313,148.6247875,1
905,19877.14927,97.04096832,3,3.090736874,85.15442341,12,0.243724277,2.115909445,0.074981775,85.70251814,2,2241.921895,0.465638911,2.901354458,476.4544172,1
485,6487.671494,91.18436264,5,3.125238045,90.48684422,1,3.962059986,8.006070082,0.06756605,97.62162011,1,4201.546786,0.28851634,1.876040196,432.1747665,1
291,11022.41474,90.29484388,4,3.87494143,95.05942452,19,3.495385916,6.046348804,0.097139899,90.80995316,1,4373.021901,0.419213924,3.480652171,405.9481677,1
376,17001.06453,81.99159427,4,2.794504767,94.08558255,5,1.304461526,9.221543823,0.05087668,86.42676881,7,1773.674397,0.277979191,9.975677597,141.8982836,0
260,8060.534519,80.32056313,3,0.971701884,98.59531977,21,3.645833514,6.609333393,0.053781236,90.9533378,4,1495.759536,0.325618506,4.618830387,423.0116855,1
559,13326.27424,99.27370377,1,4.36231101,83.25539581,0,3.58274275,5.573341796,0.024583932,84.36555319,5,3536.649937,0.227935604,8.774995522,343.6094092,1
413,15996.06944,87.53972335,3,1.893940624,96.34622245,7,2.296726015,7.326804876,0.038548389,80.50346259,7,4218.494223,0.163787738,5.942599229,392.7634444,0
121,14239.78175,92.06426124,5,4.870838571,92.34053093,17,3.443198094,8.668187537,0.002686059,92.07464958,6,4854.892389,0.398614634,6.999247714,491.2281119,1
352,7820.371019,81.59430146,0,1.030370489,95.78670497,20,2.222904515,4.259988401,0.068927479,94.28251866,6,1027.185139,0.100557138,2.407131728,177.7764708,1
847,10330.76853,93.66228571,3,4.812130275,60.46506405,3,1.67772798,2.86021635,0.03116228,97.59563531,6,2654.712454,0.331821076,3.473252807,301.7527843,1
956,16756.87677,98.65133417,0,0.909553131,98.63611967,4,2.332454802,5.464144947,0.054036701,95.43766722,6,3935.951336,0.445874411,5.593990807,401.3407786,1
660,13313.39771,91.51330506,5,1.539662621,78.94120651,4,4.475647407,3.716158982,0.02549924,98.53355401,7,4314.237195,0.188510915,8.930290908,273.4625403,0
574,5078.444203,82.52230645,5,0.709609739,91.92731958,14,1.922918964,5.436329403,0.06210362,99.71906951,0,1249.143795,0.233159783,1.385992323,121.8612332,1
158,16414.8614,91.63443055,2,3.67300916,65.08816477,9,2.018440887,9.928385382,0.044758249,94.89870895,2,3722.458078,0.334994341,5.562279636,144.5755596,1
610,5529.670324,95.32694426,0,4.326344315,75.83764383,7,3.042016138,6.59297675,0.048186065,97.35846602,0,2155.75487,0.198748099,1.459109913,340.836789,1
781,16186.00674,88.12833073,4,2.453319868,70.85842652,6,3.764997377,7.548801783,0.094260714,93.47463006,7,1298.387837,0.438994743,5.111404088,214.0016586,1
575,8037.208402,97.59675496,3,4.678349338,71.66635082,11,3.673104302,7.42342738,0.070616032,83.41875582,1,2956.410327,0.246641267,6.659813434,155.1362589,1
799,19371.1022,92.97365907,5,3.156345823,64.9302248,10,0.098993651,8.56560669,0.026189974,83.63404853,6,1632.613373,0.332645488,7.702508723,235.956799,1
882,10519.11127,97.98497837,0,3.33503211,92.2305533,12,3.437076665,9.553028792,0.050392182,82.20518913,5,3948.030072,0.190448459,2.246788047,180.3923728,1
289,9903.974245,92.47010622,1,4.304386408,60.36969258,14,2.25277024,7.270544786,0.046667282,98.8594944,0,3965.047199,0.116554535,2.499177551,109.5757866,1
786,7233.320755,82.62575944,2,1.835600923,72.50021828,16,2.620449838,5.808757158,0.079505261,93.45503396,5,4368.27106,0.169480106,5.230584295,160.7255954,1
662,9584.063232,86.19383422,1,2.094195746,66.97642173,21,2.808316685,4.542647571,0.083335511,95.79819501,8,2510.274741,0.118479575,9.982328122,453.2311844,1
975,18149.76143,84.03589897,5,4.576783636,83.56155762,21,3.658598086,4.882194401,0.028344282,86.62314674,2,1053.239189,0.28744156,4.204421521,104.814913,1
666,19945.01506,98.17652995,1,4.554335732,70.1700961,17,4.156664918,4.675844865,0.082115145,89.2084342,6,2038.943753,0.334654956,4.847746846,409.5401214,1
343,10524.64296,95.20800135,1,4.894172493,70.35993818,7,3.231304723,4.59572393,0.017950141,80.79559064,3,2871.246798,0.117870083,4.892020685,401.3844423,1
931,11729.15946,93.52796738,2,4.558272424,79.53352576,5,2.819536104,7.557000035,0.076277055,97.78014801,0,3776.045118,0.136192889,1.726307392,325.6950753,1
604,15831.06407,86.01932639,2,1.073174162,86.10756157,10,1.868846274,6.70167224,0.024878454,97.06006859,6,2528.162343,0.294210011,7.967549308,183.3791063,0
230,18292.93671,83.68089544,2,4.206759288,64.85218818,8,0.689391096,3.615960359,0.029793116,95.6962267,0,3144.193584,0.419671973,3.27791372,451.2236897,1
584,13895.66501,95.12902176,2,2.344273151,67.0204581,4,4.792888408,9.757008153,0.085246784,81.16604135,3,3097.05435,0.351203672,7.333003512,290.0302275,1
918,10872.88547,89.48315892,1,4.958606102,69.88698978,6,2.309211462,5.421804123,0.042007487,83.48499471,8,1659.929397,0.141884088,5.27580891,169.2824916,1
746,11189.32761,84.51579104,4,2.625264339,98.94992856,21,2.831061222,6.528691209,0.099056582,86.68341316,4,3492.198,0.45501691,6.50601768,271.609037,1
120,15434.2722,92.33243956,4,2.992262371,75.8861,14,3.755365697,7.620807734,0.015194303,85.26125351,6,2757.006913,0.466980094,1.485744728,177.9668911,1
940,5048.273954,80.80667704,2,2.883987119,83.95960363,20,0.342052425,6.909419013,0.046334904,96.76919677,6,4231.674807,0.229982731,9.00969116,250.4031365,1
266,14293.84006,86.52340508,3,1.947816634,69.66171251,21,4.275055045,4.488414153,0.073245033,83.89671516,2,3762.444833,0.346407117,3.194710925,298.6751084,1
373,10332.39516,89.37113989,0,0.8375994,79.61838101,3,3.985128717,8.381652588,0.000536706,90.64248931,7,1445.876745,0.29693086,7.030858488,243.9603559,0
487,16912.95997,82.95916668,5,4.530430537,62.96476698,18,3.87214291,2.881229117,0.015185528,91.42762196,0,2955.03364,0.476809507,8.182172009,362.8177096,1
700,6394.859597,99.69308955,3,4.112041156,61.38968584,12,0.109913534,6.551966678,0.002035675,88.50023694,3,3809.977434,0.303499413,5.860348456,474.3671216,1
415,13823.034,84.18194729,5,1.127870513,78.74934107,0,2.632594257,4.186537784,0.099287787,84.81375863,9,1348.046903,0.483986325,4.036006199,239.2597391,0
113,12214.59335,82.6070626,3,3.995457221,75.9463715,0,0.271341854,6.926098941,0.076062466,99.20588582,3,4169.98813,0.17973702,9.80113037,242.2958055,1
341,14634.88289,84.07069748,3,3.316309997,65.47521279,21,2.754362894,3.743947849,0.03735591,88.26798485,1,1888.018059,0.238214703,3.505957419,395.3209882,1
876,5972.803917,95.38122266,4,2.341147046,87.50405716,13,3.592241631,8.177597242,0.015628493,94.54619991,5,3012.339182,0.412538096,9.537961034,312.2363726,1
445,13699.75681,88.51011319,0,1.643095171,99.71613964,8,0.609251251,3.82029065,0.009038324,83.68092975,0,4762.24515,0.413444294,2.406017203,271.5357758,0
664,13422.26882,91.3083188,3,4.368779526,75.82587285,23,3.474415527,9.12313708,0.05319072,96.45622337,2,3285.336939,0.39287331,4.502999184,425.5232754,1
997,13409.90142,80.42018314,2,3.650847167,84.98234544,11,2.24766423,8.892439237,0.097589132,84.31783646,8,2696.217807,0.443844586,2.246460257,456.4144269,1
439,14052.315,80.68862617,5,2.964829593,98.51903769,17,4.057764653,4.899147616,0.067461094,93.50613247,9,1027.17971,0.381018469,1.020164258,336.2346424,1
191,15147.01906,88.916511,4,3.243058403,93.2613989,8,2.667944697,5.086562311,0.036513837,90.12992003,5,1533.654491,0.354434058,3.342326864,174.0413091,1
466,17074.835,96.33310486,5,0.909797819,78.54208893,7,1.680607679,7.612027661,0.050085097,82.93114282,1,3314.65554,0.283570005,1.784893608,286.5143556,0
554,9047.310802,97.70477757,2,2.632638924,89.49957938,13,1.659957817,2.722988304,0.099890337,80.49898392,8,2975.300163,0.286835097,9.877109708,301.7482649,1
527,17375.74115,81.73413135,2,1.371651318,65.12540161,8,4.4874326,2.647355297,0.051876623,98.61496531,1,2455.316703,0.262464597,7.854879862,272.8829428,1
608,12473.83523,90.76726204,3,1.437726556,80.48415422,19,2.264357923,3.090593575,0.096420149,82.51381027,6,4692.863542,0.34808472,1.033343167,204.9727515,1
875,6155.874187,98.26459373,2,3.47586783,71.16241109,1,2.028769486,6.499802684,0.001636172,94.09902857,0,2329.93015,0.262665572,3.012819263,288.9287231,1
134,5878.263939,87.75945509,0,4.600652683,66.44654752,0,0.199368111,3.192018439,0.072096313,93.05369918,4,3148.603026,0.158997726,7.031118172,278.6184608,1
305,10013.57478,96.59131663,2,2.316904747,77.05123625,12,1.821623026,4.220938254,0.062716145,86.83440085,6,3274.853638,0.142611846,4.586969018,183.7974096,1
180,16773.45466,82.67391309,3,1.434871729,65.24058218,9,4.248135275,7.17529126,0.068532986,83.70765799,2,3109.87356,0.46978891,8.486583067,461.3722609,1
661,15615.21402,98.70788979,5,3.419361218,87.95940433,7,3.804938283,2.124990223,0.057056709,83.56656499,3,2910.341566,0.109895563,5.543747005,454.1363803,1
971,16829.22447,95.02846635,2,4.420341709,78.24960176,6,1.104566014,3.441892864,0.004417678,91.70655706,4,2348.254944,0.142186905,6.882862778,403.8465714,1
487,12759.03585,98.82668786,4,3.867434605,81.2457853,23,2.065283116,9.439445303,0.014956394,90.93842589,2,4635.054532,0.27812195,6.373336578,260.378631,1
101,11602.98497,93.53234467,4,4.409407537,65.85503755,11,0.98289838,7.308620987,0.092225127,97.51870041,5,2803.213047,0.205170507,6.743520106,248.1367632,1
489,7211.787901,87.26807864,4,2.91449602,65.59086644,16,4.771084084,4.444408914,0.023292501,92.80006157,2,3113.795469,0.26233956,3.070889684,386.586151,1
665,9922.891304,98.76362345,5,3.8834431,83.33661741,11,2.990589393,2.362427392,0.099293727,96.38549952,7,3625.911935,0.146978953,4.359604953,343.247694,1
205,11510.29049,85.51133553,1,1.130290517,99.40038991,15,3.771773963,6.688390467,0.067958848,80.64826125,6,1270.62417,0.152362775,1.455663276,340.2393296,1
871,6329.006445,86.64345044,4,2.067235769,63.85002333,9,3.569043248,3.782930479,0.044435449,93.41986294,0,4125.152566,0.420263163,6.288728632,149.644611,1
921,8309.179291,94.01616836,4,2.25297124,71.42925714,11,4.368446817,9.68140351,0.092004886,84.67417277,1,3050.02924,0.403643498,5.133326159,347.3135121,1
576,13973.37941,95.30632599,1,2.800830858,94.77836466,10,4.746638893,7.49568764,0.079498619,85.0567792,3,3628.707743,0.141701146,7.846445341,460.7452044,0
802,16034.94671,98.58806968,5,4.680843621,62.89088049,13,0.162230869,9.792991091,0.042896508,94.41153058,4,4088.048262,0.367116166,2.857442182,134.3265883,1
501,19975.21267,84.09604818,4,4.434334521,95.03542885,21,4.876505899,8.791191179,0.006859297,95.86865918,9,4496.397563,0.343724529,4.931309045,235.6685196,1
829,18996.69997,95.9599607,3,1.105364715,80.97143933,19,4.352712316,5.864219322,0.086830457,87.4347095,3,2568.881668,0.385345089,2.626708898,303.6057166,1
655,14638.47799,94.77092107,5,1.277553433,76.33067096,12,1.914737043,7.356505181,0.076503993,95.80153634,3,4245.719571,0.289779562,6.525813027,374.4037979,1
261,11318.7208,81.27589113,4,2.109382473,72.38722257,1,4.185346213,8.496857564,0.079073484,88.87489351,8,2035.347582,0.207994731,8.632272309,135.8539718,1
301,14542.66047,87.74446282,4,1.808347397,71.88468633,19,3.682789912,6.625427853,0.074485873,97.15290697,3,3641.342604,0.365471668,7.888989236,449.1224773,1
369,16784.77427,85.65530914,1,3.266469289,72.2321033,6,3.965571883,2.491900008,0.027575449,80.49807544,3,1410.829203,0.248542971,9.497781754,116.2182482,1
962,6775.042864,86.08980849,3,4.562492215,95.39212324,0,1.103455164,5.763570511,0.085884572,81.66990142,3,1080.12187,0.18758116,9.745532037,443.0758667,1
915,11148.57335,99.65893759,5,4.830311938,88.95180921,2,3.24281851,3.044586646,0.000223255,95.52703615,1,1383.052504,0.263451605,7.948304808,111.0607023,1
370,17597.03428,92.85554827,2,3.441213286,86.78892031,19,0.129629471,7.718774202,0.023727628,92.48179256,7,2277.529946,0.405307934,3.581254768,161.4093217,1
555,10757.49428,94.35352316,0,4.271716406,91.94996596,11,4.241145663,7.445031325,0.00465596,91.18040507,3,1124.378455,0.290317279,2.973352395,420.1295309,1
561,13578.08407,99.53235275,3,2.863409901,70.28458652,4,4.755214862,9.943265536,0.011059646,92.27957615,4,3521.965089,0.219945705,5.027941311,444.0657749,1
826,13816.54041,87.54403565,2,1.437471261,84.72171248,11,3.310617203,7.030478414,0.053237914,98.60381255,7,2266.178154,0.432747446,9.944953251,492.9063317,1
351,7767.143797,96.03680337,3,2.861097854,78.40264956,2,2.563348266,8.401103539,0.003725619,93.11074063,3,3945.504271,0.452657502,4.714012187,146.2859313,0
801,10433.53162,88.69061927,2,2.997871706,91.29766541,19,3.628655447,4.146302807,0.018138105,92.94952233,4,1183.660545,0.27330017,2.791615695,310.5804464,1
395,10017.66933,97.39067344,2,3.841059039,72.37024442,4,1.631806441,4.720193082,0.023274015,95.18941759,4,1866.806266,0.249875208,9.4990859,130.8623306,1
824,5392.950628,83.61315083,3,1.489473454,85.72714467,0,3.131938979,9.336194019,0.065533881,97.33241411,5,2632.013701,0.345079579,4.473261798,162.5630504,1
819,5362.876458,98.95372354,1,2.157396719,95.28849647,15,3.594864697,8.041538077,0.046882052,85.23824956,6,2530.606249,0.123189778,7.218089985,169.7975432,1
848,17475.45566,84.37543417,3,2.138123611,76.08601905,8,0.713403907,7.242153398,0.045841252,92.33497718,2,1523.994691,0.376529264,8.093376808,125.3553006,1
437,9096.06215,86.52441014,3,4.817478181,62.66488349,9,0.700340027,4.032221541,0.076843255,91.67949927,9,4976.547254,0.412915042,8.588403119,457.1919224,1
978,12771.18149,95.12384468,2,2.497752321,80.64203289,9,3.580690889,7.58862343,0.045672141,82.69698963,2,2137.758323,0.258976771,8.391523484,150.5422072,1
152,9480.883604,87.87510283,0,3.897922853,73.83889951,12,2.158912471,9.09410916,0.034848874,90.40633948,8,3884.128339,0.16984634,8.526221767,351.7363372,1
891,19110.18868,92.16422754,2,3.878651216,86.88901522,15,4.446007492,3.846381239,0.096245105,81.39101029,0,1880.106789,0.11152735,7.008880848,350.2988258,1
316,8889.451383,88.89147002,4,1.694948832,98.04131699,19,1.559694411,7.648991583,0.000829331,83.69919175,9,4511.404843,0.35489824,4.634479623,179.4580821,1
863,11444.85219,94.84739874,3,3.073413602,79.42433272,3,0.212153686,5.149551627,0.0305393,98.25926164,7,2551.033241,0.207597363,7.005581687,499.3645045,1
287,18090.95376,84.56662505,5,4.52436302,78.64760921,13,3.249380146,2.950139304,0.060939272,82.38486363,9,4603.609956,0.285555835,8.530609007,238.9471093,1
479,17629.0035,81.16915974,3,2.638389738,86.18339201,16,3.421196133,8.107685412,0.078280924,91.578326,2,2367.339679,0.254542209,4.155782182,462.0377484,1
592,7791.521268,85.99858795,1,4.753028783,64.13990014,4,2.767958045,3.337094313,0.081641295,86.46961392,4,1034.575286,0.169953918,3.668571913,479.3138929,1
140,17039.64965,89.4861733,5,1.465062032,70.14024756,12,3.416663228,4.023170188,0.004607313,91.10626581,2,3068.081724,0.303347467,4.093364954,479.5955257,1
256,11872.8033,83.36040104,2,0.833715976,96.75917302,2,2.618771722,8.263536327,0.070913206,84.69947085,9,3099.151745,0.283837409,5.961550564,401.135035,0
114,12244.53308,87.09594579,1,4.511542429,86.79770453,4,3.46316408,7.937062285,0.072025364,88.88758909,0,1479.336731,0.349659049,1.471994873,201.5220021,1
912,7002.199586,87.99966037,3,4.314565391,60.53776176,15,0.219687033,4.033464528,0.021407942,97.34666866,9,1939.854294,0.200753998,8.010737371,148.2621407,1
164,6209.022706,81.14783687,2,4.966654442,68.1850189,18,1.841986851,9.527716915,0.011277503,87.52433956,4,4133.982364,0.185855632,2.249667626,327.9539909,1
956,15919.0896,91.66614496,2,3.557270697,87.31349064,18,1.05408459,3.722281801,0.074968616,87.06061876,7,1147.023299,0.425738024,2.195547911,244.0156524,1
938,12446.91729,97.68686856,4,4.71509567,90.5759681,16,0.496630693,9.94897772,0.024950001,88.92236159,4,2958.106747,0.380876898,2.778932254,432.4156047,1
620,11552.76054,83.03485826,4,4.221270613,93.59438291,17,1.170463181,7.903198976,0.00016738,82.00985688,3,3121.632494,0.408882581,6.192346915,397.996021,1
443,15942.62343,91.95616027,0,4.299918499,71.68707214,17,0.95655309,5.140061524,0.02235726,87.74694049,8,3754.848243,0.149315925,3.570115382,210.5873185,1
228,16482.69348,93.2947841,4,3.061137067,97.24114385,22,4.865656942,3.042793653,0.003106801,80.13800501,0,1149.82507,0.189615857,4.312812961,106.8060935,1
747,7383.622515,88.38669361,5,2.220640691,82.11787574,7,1.432729589,4.564079641,0.024918669,90.0679429,4,3342.585308,0.330212606,9.384841999,194.9263036,0
571,14153.37724,94.02195175,2,4.705511326,87.8615609,17,1.154794851,3.549908092,0.033501958,96.95882158,0,1012.392146,0.442880539,8.62481962,326.8462337,1
162,7030.311234,88.21463087,4,2.44452729,83.86955451,8,4.174372531,6.974716692,0.027140016,91.04146208,5,2060.713469,0.456845857,8.669714798,131.5989889,0
238,16270.62629,90.09274576,0,2.924687153,64.90960219,18,2.095581086,4.854841225,0.091993707,92.15450356,9,2998.737021,0.432763985,6.1987765,363.3090399,1
598,14854.32734,80.14706089,3,2.507514382,98.52458638,9,2.107327242,4.36005809,0.023253295,80.61126743,8,4645.12535,0.117359178,8.798195326,368.6785139,0
692,19349.21932,93.83440228,5,3.041682413,64.9150232,1,2.217952332,8.057065534,0.046753482,97.1902996,1,1506.359264,0.428351674,8.007092428,167.7575689,1
491,6034.370245,93.22685358,4,2.617272855,70.19527826,16,2.082672531,3.844795479,0.095742759,87.70007106,3,1677.156516,0.459636471,9.579131226,338.5272936,1
774,5855.820817,80.76801755,2,0.715854014,92.54511521,23,1.632827275,6.695114539,0.087919949,99.49705361,7,3677.000258,0.122699636,1.579315645,342.7885712,1
518,9232.80612,87.36500215,3,4.469216837,84.74387846,12,1.431697213,3.556768743,0.030925847,82.40930739,2,2499.446775,0.266512358,1.258544203,291.1912585,1
388,8925.585256,99.58063682,2,2.499772185,93.52596662,10,4.409798382,7.718388862,0.032649029,98.8934377,6,3493.685608,0.314644129,2.575269467,481.298323,0
